图片名,分辨率1,分辨率2,相似性检验结果
Skywalk_ZH-CN3725661090,768x1280,720x1280,0.996634
Skywalk_ZH-CN3725661090,768x1280,640x480,0.796374
Skywalk_ZH-CN3725661090,768x1280,480x800,0.658007
Skywalk_ZH-CN3725661090,768x1280,400x240,0.76663
Skywalk_ZH-CN3725661090,768x1280,320x240,0.757805
Skywalk_ZH-CN3725661090,768x1280,240x320,0.622807
MeerkatMob_ZH-CN3788674757,768x1280,1920x1080,0.928365
MeerkatMob_ZH-CN3788674757,768x1280,1366x768,0.936529
MeerkatMob_ZH-CN3788674757,768x1280,1280x768,0.950464
MeerkatMob_ZH-CN3788674757,768x1280,1024x768,0.905073
MeerkatMob_ZH-CN3788674757,768x1280,800x600,0.955833
MeerkatMob_ZH-CN3788674757,768x1280,800x480,0.95162
MeerkatMob_ZH-CN3788674757,768x1280,768x1280,1
MeerkatMob_ZH-CN3788674757,768x1280,720x1280,0.996961
MeerkatMob_ZH-CN3788674757,768x1280,640x480,0.955644
MeerkatMob_ZH-CN3788674757,768x1280,480x800,0.968376
MeerkatMob_ZH-CN3788674757,768x1280,400x240,0.949205
MeerkatMob_ZH-CN3788674757,768x1280,320x240,0.96241
MeerkatMob_ZH-CN3788674757,768x1280,240x320,0.964185
CathedralMountBuffalo_ZH-CN4341947983,768x1280,1366x768,0.834817
CathedralMountBuffalo_ZH-CN4341947983,768x1280,1280x768,0.842762
CathedralMountBuffalo_ZH-CN4341947983,768x1280,1024x768,0.61848
CathedralMountBuffalo_ZH-CN4341947983,768x1280,800x600,0.712227
CathedralMountBuffalo_ZH-CN4341947983,768x1280,800x480,0.776275
CathedralMountBuffalo_ZH-CN4341947983,768x1280,768x1280,1
CathedralMountBuffalo_ZH-CN4341947983,768x1280,720x1280,0.991841
CathedralMountBuffalo_ZH-CN4341947983,768x1280,640x480,0.697145
CathedralMountBuffalo_ZH-CN4341947983,768x1280,480x800,0.730063
CathedralMountBuffalo_ZH-CN4341947983,768x1280,400x240,0.776419
CathedralMountBuffalo_ZH-CN4341947983,768x1280,320x240,0.722259
CathedralMountBuffalo_ZH-CN4341947983,768x1280,240x320,0.724274
ElkFallsBridge_ZH-CN3921681387,800x480,1366x768,0.988597
ElkFallsBridge_ZH-CN3921681387,800x480,1280x768,0.99184
ElkFallsBridge_ZH-CN3921681387,800x480,1024x768,0.937694
ElkFallsBridge_ZH-CN3921681387,800x480,800x600,0.981913
ElkFallsBridge_ZH-CN3921681387,800x480,800x480,1
